Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
Alex Strangelove,(2018),TV-MA,99.0,"Comedy, Drama, Romance",6.3,62.0,10572.0,10503.0
I Can Only Imagine,(2018),PG,110.0,"Biography, Drama, Family",7.4,30.0,10338.0,8348.0
Replicas,(2018),PG-13,107.0,"Sci-Fi, Thriller",5.4,19.0,10327.0,405.0
Wildlife,(2018),PG-13,105.0,Drama,7.0,80.0,10067.0,103.0
At Eternity's Gate,(2018),PG-13,111.0,"Biography, Drama",6.9,78.0,10065.0,229.0
The Miseducation of Cameron Post,(2018),Not Rated,91.0,Drama,6.7,69.0,10043.0,90.0
A Futile and Stupid Gesture,(2018),TV-MA,101.0,"Biography, Comedy",6.8,55.0,9969.0,9926.0
Fahrenheit 11/9,(2018),R,128.0,Documentary,6.6,69.0,9639.0,635.0
"Juliet, Naked",(2018),R,97.0,"Comedy, Drama, Music",6.6,67.0,9399.0,344.0
Occupation,(I) (2018),R,119.0,"Action, Drama, Sci-Fi",5.2,45.0,9274.0,9261.0
7 Days in Entebbe,(2018),PG-13,107.0,"Action, Drama, History",5.8,49.0,9249.0,319.0
Colette,(I) (2018),R,111.0,"Biography, Drama, History",6.8,74.0,9171.0,514.0
The Tale,(2018),TV-MA,114.0,"Drama, Mystery, Thriller",7.3,90.0,9117.0,9078.0
Goosebumps 2: Haunted Halloween,(2018),PG,90.0,"Adventure, Comedy, Family",5.7,53.0,9078.0,4670.0
Forever My Girl,(2018),PG,108.0,"Drama, Music, Romance",6.7,36.0,8952.0,1638.0
Free Solo,(2018),PG-13,100.0,Documentary,8.4,83.0,8881.0,1650.0
In Darkness,(2018),Not Rated,110.0,"Mystery, Thriller",5.8,59.0,8825.0,8768.0
Private Life,(2018),R,123.0,Drama,7.3,83.0,8716.0,8705.0
Gotti,(2018),R,112.0,"Biography, Crime, Drama",4.8,24.0,8705.0,434.0
Breaking In,(2018),PG-13,88.0,"Action, Crime, Drama",5.3,42.0,8699.0,4638.0
Uncle Drew,(2018),PG-13,103.0,"Comedy, Sport",5.7,57.0,8479.0,4247.0
Holmes & Watson,(2018),PG-13,90.0,"Adventure, Comedy, Crime",3.4,24.0,8001.0,3057.0
Siberia,(2018),R,104.0,"Crime, Romance, Thriller",4.3,34.0,7544.0,7535.0
Wildling,(2018),R,92.0,"Drama, Fantasy, Horror",5.5,58.0,7535.0,7421.0
Kin,(I) (2018),PG-13,102.0,"Action, Drama, Sci-Fi",5.7,35.0,7400.0,572.0
Father of the Year,(2018),TV-14,94.0,Comedy,5.2,32.0,7238.0,7234.0
Down a Dark Hall,(2018),PG-13,96.0,"Drama, Fantasy, Horror",5.2,56.0,7229.0,7226.0
Hell Fest,(2018),R,89.0,Horror,5.5,26.0,7226.0,1111.0
Sherlock Gnomes,(2018),PG,86.0,"Animation, Adventure, Comedy",5.1,36.0,7218.0,4324.0
Acts of Violence,(2018),R,86.0,"Action, Crime",5.2,28.0,7153.0,7153.0
Life Itself,(2018),R,117.0,"Drama, Romance",6.5,21.0,7153.0,410.0
Billionaire Boys Club,(2018),R,108.0,"Biography, Drama, Thriller",5.6,30.0,7079.0,7077.0
Active Measures,(2018),PG-13,109.0,Documentary,8.3,68.0,6780.0,1.0
Assassination Nation,(2018),R,108.0,"Action, Comedy, Crime",5.9,56.0,6754.0,196.0
Capharnaüm,(2018),R,126.0,Drama,8.4,75.0,6742.0,123.0
The Possession of Hannah Grace,(2018),R,86.0,"Horror, Mystery, Thriller",5.1,37.0,6648.0,1484.0
Stan & Ollie,(2018),PG,98.0,"Biography, Comedy, Drama",7.6,75.0,6619.0,500.0
RBG,(2018),PG,98.0,"Documentary, Biography",7.5,71.0,6498.0,1402.0
The Kindergarten Teacher,(2018),R,96.0,Drama,6.8,75.0,6487.0,6483.0
Proud Mary,(2018),R,89.0,"Action, Crime, Drama",4.9,35.0,6332.0,2087.0
Spinning Man,(2018),R,100.0,"Drama, Mystery, Thriller",5.6,44.0,6290.0,6256.0
The Clovehitch Killer,(2018),Unrated,109.0,"Drama, Horror, Mystery",6.6,59.0,6122.0,1.0
Utøya: July 22,(2018),Not Rated,93.0,"Drama, Thriller",7.5,75.0,6076.0,6032.0
A Private War,(2018),R,110.0,"Biography, Drama, War",6.7,75.0,5935.0,163.0
Galveston,(2018),Not Rated,91.0,"Action, Crime, Drama",6.2,57.0,5892.0,5863.0
Border,(2018),R,110.0,"Drama, Fantasy, Romance",7.1,75.0,5795.0,77.0
Nappily Ever After,(2018),TV-MA,98.0,"Comedy, Drama, Romance",6.4,63.0,5773.0,5745.0
Second Act,(2018),PG-13,103.0,"Comedy, Drama, Romance",5.9,46.0,5714.0,3928.0
Action Point,(2018),R,85.0,Comedy,5.0,36.0,5649.0,506.0
Death of a Nation,(I) (2018),PG-13,108.0,"Documentary, History",4.7,1.0,5648.0,589.0
Black '47,(2018),R,100.0,"Action, Drama",6.9,65.0,5626.0,5.0
The Man Who Killed Don Quixote,(2018),Not Rated,132.0,"Adventure, Comedy, Drama",6.5,56.0,5506.0,5498.0
Hearts Beat Loud,(2018),PG-13,97.0,"Comedy, Drama, Music",6.9,65.0,5498.0,239.0
Final Score,(2018),R,104.0,"Action, Drama, Thriller",5.7,53.0,5424.0,5405.0
Happy as Lazzaro,(2018),PG-13,125.0,Drama,7.7,86.0,5353.0,5310.0
A-X-L,(2018),PG,98.0,"Action, Adventure, Family",5.2,29.0,5310.0,650.0
Mary Magdalene,(2018),Not Rated,120.0,Drama,5.8,47.0,5208.0,5171.0
"Paul, Apostle of Christ",(2018),PG-13,108.0,"Adventure, Biography, Drama",6.7,52.0,5132.0,1756.0
La nuit a dévoré le monde,(2018),TV-14,93.0,Horror,6.0,50.0,5083.0,5055.0
Acrimony,(2018),R,120.0,"Drama, Romance, Thriller",5.7,32.0,5042.0,4355.0
King of Thieves,(2018),R,108.0,"Crime, Drama",5.6,47.0,4945.0,4919.0
The Mercy,(2018),Not Rated,112.0,"Adventure, Biography, Drama",6.0,60.0,4792.0,4740.0
The Vanishing,(2018),R,101.0,"Drama, Mystery, Thriller",5.8,66.0,4700.0,4697.0
Little Italy,(2018),R,102.0,"Comedy, Romance",5.7,28.0,4687.0,99.0
I Think We're Alone Now,(2018),R,93.0,"Drama, Mystery, Sci-Fi",5.6,51.0,4647.0,4645.0
Zoe,(I) (2018),R,104.0,"Romance, Sci-Fi",6.1,39.0,4613.0,4583.0
On the Basis of Sex,(2018),PG-13,120.0,"Biography, Drama",6.6,60.0,4583.0,2448.0
Destroyer,(2018),R,121.0,"Action, Crime, Drama",6.6,62.0,4500.0,151.0
Robin Williams: Come Inside My Mind,(2018),TV-MA,116.0,"Documentary, Biography, Comedy",8.0,74.0,4417.0,4414.0
211,(2018),R,86.0,"Action, Crime, Drama",4.4,21.0,4303.0,4288.0
Girl,(II) (2018),R,109.0,Drama,7.2,77.0,4189.0,4173.0
SuperFly,(2018),R,116.0,"Action, Crime, Thriller",5.1,52.0,4140.0,2055.0
I Still See You,(2018),PG-13,98.0,"Fantasy, Thriller",5.7,31.0,4071.0,4054.0
The Little Stranger,(2018),R,111.0,"Drama, Horror, Mystery",5.6,67.0,4030.0,71.0
McQueen,(2018),R,111.0,"Documentary, Biography",7.9,84.0,4011.0,126.0
The Front Runner,(2018),R,113.0,"Biography, Drama, History",6.3,61.0,3994.0,200.0
The Land of Steady Habits,(2018),TV-MA,98.0,"Comedy, Drama",6.2,71.0,3992.0,3979.0
The Other Side of the Wind,(2018),R,122.0,Drama,7.0,78.0,3956.0,3950.0
Ben Is Back,(2018),R,103.0,Drama,6.9,68.0,3930.0,370.0
Whitney,(2018),R,120.0,"Documentary, Biography, Music",7.2,75.0,3929.0,303.0
Future World,(2018),R,90.0,"Action, Adventure, Sci-Fi",3.1,10.0,3889.0,3877.0
The Catcher Was a Spy,(2018),R,98.0,"Biography, Drama, War",6.1,49.0,3836.0,71.0
Arizona,(2018),TV-MA,85.0,"Comedy, Thriller",5.7,41.0,3787.0,3784.0
Support the Girls,(2018),R,93.0,"Comedy, Drama",6.5,85.0,3706.0,13.0
Mara,(I) (2018),R,98.0,"Crime, Horror, Thriller",5.1,32.0,3661.0,3656.0
Reprisal,(I) (2018),R,89.0,"Action, Crime, Thriller",4.2,19.0,3551.0,3549.0
Vox Lux,(2018),R,114.0,"Drama, Music",6.2,68.0,3520.0,73.0
Welcome to Marwen,(2018),PG-13,116.0,"Biography, Comedy, Drama",5.9,40.0,3501.0,1076.0
Looking Glass,(I) (2018),R,103.0,"Mystery, Thriller",4.5,33.0,3446.0,3445.0
Skjelvet,(2018),PG-13,106.0,"Action, Drama, Thriller",6.2,70.0,3445.0,1.0
Mirai,(2018),PG,98.0,"Animation, Adventure, Drama",7.1,81.0,3415.0,81.0
Our House,(I) (2018),PG-13,90.0,"Drama, Horror, Thriller",5.3,45.0,3349.0,3328.0
Lizzie,(2018),R,105.0,"Biography, Crime, Drama",5.7,59.0,3293.0,64.0
Take Your Pills,(2018),TV-14,87.0,Documentary,6.4,54.0,3261.0,3240.0
Show Dogs,(2018),PG,92.0,"Adventure, Comedy, Family",3.6,31.0,3238.0,1774.0
Between Worlds,(2018),R,90.0,"Fantasy, Thriller",5.2,24.0,3227.0,3225.0
Samson,(2018),PG-13,110.0,"Action, Drama",4.4,17.0,3198.0,472.0
Prospect,(2018),R,100.0,"Drama, Sci-Fi, Thriller",6.2,68.0,3195.0,3184.0
Kickboxer: Retaliation,(2018),R,110.0,"Action, Drama",5.0,54.0,3184.0,0.0
Elizabeth Harvest,(2018),R,105.0,"Sci-Fi, Thriller",5.7,54.0,2870.0,2864.0
El Angel,(2018),Not Rated,118.0,"Biography, Crime, Drama",7.2,61.0,2864.0,9.0
Backstabbing for Beginners,(2018),R,108.0,"Drama, History, Romance",6.2,48.0,2852.0,2851.0
The Miracle Season,(2018),PG,101.0,"Drama, Sport",6.5,44.0,2838.0,1023.0
Puzzle,(II) (2018),R,103.0,Drama,6.8,66.0,2825.0,203.0
6 Balloons,(2018),TV-MA,74.0,Drama,5.8,66.0,2770.0,2769.0
Black Water,(2018),R,104.0,"Action, Drama, Thriller",4.7,16.0,2738.0,2736.0
The Legacy of a Whitetail Deer Hunter,(2018),TV-14,83.0,"Adventure, Comedy, Drama",5.5,49.0,2736.0,2728.0
They'll Love Me When I'm Dead,(2018),TV-MA,98.0,Documentary,7.5,77.0,2661.0,2644.0
Nobody's Fool,(2018),R,110.0,"Comedy, Drama, Romance",4.5,39.0,2639.0,3171.0
The Happy Prince,(2018),R,105.0,"Biography, Drama",6.3,64.0,2618.0,47.0
Blood Fest,(2018),Not Rated,92.0,"Comedy, Horror",5.3,54.0,2571.0,2570.0
Benji,(I) (2018),TV-PG,87.0,"Crime, Drama, Family",6.4,53.0,2528.0,2510.0
What Keeps You Alive,(2018),R,98.0,"Horror, Thriller",5.8,66.0,2441.0,2439.0
God's Not Dead: A Light in Darkness,(2018),PG,105.0,Drama,4.4,33.0,2382.0,573.0
